id,spot_name,latitude,longitude,continent,country,region,area,type,category,has_spots_flag,surfline_www_url,surfline_travel_url,original_depth,original_enumerated_path,lies_in_1,lies_in_2,lies_in_3
640b982d45190598c1df6650,"Zakros",35.0973,26.2635,"Europe","Greece","Crete","Lasithi",spot,surfline,true,https://www.surfline.com/surf-report/zakros/640b982d4519050e08df6648,,3,"","640a7de899dd441d19119ee2","58f835dedadb30820bf29cb2",""
58f7f0c4dadb30820bb76917,"Praia do Felix",-23.387577,-44.96742,"South America","Brazil","São Paulo","Ubatuba",spot,surfline,false,https://www.surfline.com/surf-report/praia-do-felix/5842041f4e65fad6a7708e4c,,3,"","58f7f0c4dadb30820bb7690f","58f7f084dadb30820bb71cea",""
59921a07dadb30820b95b8c4,"Ishizakikakou",32.010005,131.494385,"Asia","Japan","Miyazaki","Miyazaki",spot,surfline,false,https://www.surfline.com/surf-report/ishizakikakou/584204204e65fad6a7709954,,3,"","58f7f06fdadb30820bb7064f","58f7f06fdadb30820bb70671",""
663d142d9c9ff1bb876de1a3,"KB Point",14.1185885,123.00206,"Asia","Philippines","Bicol","Province of Camarines Norte",spot,surfline,true,https://www.surfline.com/surf-report/kb-point/663d142b806dd3af740cb568,,3,"","58f7f051dadb30820bb6e40e","58f7f04ddadb30820bb6e030",""
58f835d3dadb30820bf2933e,"Ammes Beach (Kefallonia)",38.109,20.508,"Europe","Greece","Ionian Islands","Nomós Kefallinías",spot,surfline,false,https://www.surfline.com/surf-report/ammes-beach-kefallonia-/584204214e65fad6a7709c52,,3,"","58f835d3dadb30820bf29335","58f835ccdadb30820bf28e23",""
6167566a2cb4e81c11df2781,"Hitotsuba",31.9549,131.4754,"Asia","Japan","Miyazaki","Miyazaki",spot,surfline,true,https://www.surfline.com/surf-report/hitotsuba/584204204e65fad6a7709860,,3,"","6454131c45e5f3605a8e326d","58f7f06fdadb30820bb70671",""
640a3ced606c45dd5daff157,"Playa Millo",-15.9097,-74.136,"South America","Peru","Arequipa","Caravelí Province",spot,surfline,true,https://www.surfline.com/surf-report/playa-millo/640a3ced606c45b0e8aff150,,3,"","640a3b2d606c457403af7b4a","58f7eef5dadb30820bb55d13",""
640a717599dd440bca0ef9a7,"Sittwe",20.119,92.88172,"Asia","Myanmar","Rakhine State","Sittwe District",spot,surfline,true,https://www.surfline.com/surf-report/sittwe/640a717599dd4420cd0ef9a1,,3,"","640a6f66606c45c116bbf6ca","600753d3aab9581fd977e23b",""
59c2e4b1dadb30820b5810a4,"Higashiotaru",43.18,141.0405,"Asia","Japan","Hokkaido","Otaru-shi",spot,surfline,false,https://www.surfline.com/surf-report/higashiotaru/584204204e65fad6a77096c5,,3,"","58f80839dadb30820bce880f","58f80839dadb30820bce883e",""
640a3be999dd44c07c023b18,"Playa La Bocana",-7.7791,-79.4025,"South America","Peru","La Libertad","Ascope",spot,surfline,true,https://www.surfline.com/surf-report/playa-la-bocana/640a3be999dd44b097023b13,,3,"","640a3a824eb37564b29308b0","58f7eff1dadb30820bb67b52",""
640a662f4eb3750c699da931,"Pantai Glagah Indah",-7.9136,110.0661,"Asia","Indonesia","Yogyakarta","Kabupaten Kulon Progo",spot,surfline,true,https://www.surfline.com/surf-report/pantai-glagah-indah/640a662f4eb375ecb79da925,,3,"","640a61b2606c45087fb8da64","58f7f038dadb30820bb6c986",""
640b9bd4de81d52e1e0de020,"Şah Inn",36.299971,30.31976,"Asia","Turkey","Antalya","Mavikent",spot,surfline,true,https://www.surfline.com/surf-report/-ah-inn/640b9bd4de81d563440de01b,,3,"","640a7ec5b6d7691dc65fcf24","600781a0f972fe3bd6130245",""
640a1c3e606c45ec5fa7dbb4,"Goda",-33.1033,27.7742,"Africa","South Africa","Eastern Cape","Buffalo City Metropolitan Municipality",spot,surfline,true,https://www.surfline.com/surf-report/goda/640a1c3e606c456f20a7dbb0,,3,"","640a1b3145190576ce93a70d","58f7f022dadb30820bb6b16c",""
58f834d5dadb30820bf1c350,"Chia",38.894,8.88,"Europe","Italy","Sardinia","Provincia di Cagliari",spot,surfline,false,https://www.surfline.com/surf-report/chia/584204204e65fad6a7709b56,,3,"","58f834d5dadb30820bf1c348","58f834d5dadb30820bf1c35a",""
616754d1d0b6b42914de1deb,"Urahama",37.710256,138.78475,"Asia","Japan","Niigata","Nagaoka Shi",spot,surfline,true,https://www.surfline.com/surf-report/urahama/584204204e65fad6a77098f9,,3,"","61446f50e15a2555ed19f048","58f80849dadb30820bce984e",""
5fb2c2da7057d90c9cd2caa4,"Praia do Sul",38.958659,-9.41576,"Europe","Portugal","Lisbon","Mafra Municipality",spot,surfline,true,https://www.surfline.com/surf-report/praia-do-sul/5fb2c2da7057d993d9d2caa3,,3,"","58f7ef37dadb30820bb5a836","58f7ef37dadb30820bb5a871",""
58f7f1d3dadb30820bb8a145,"Saint-Girons-Plage",43.956,-1.367,"Europe","France","Nouvelle-Aquitaine","Landes",spot,surfline,false,https://www.surfline.com/surf-report/saint-girons-plage/584204204e65fad6a7708fdc,,3,"","58f7f1d3dadb30820bb8a12f","58f7ef3fdadb30820bb5b219",""
640a5dbd606c450172b7f38a,"Pantai Juara",2.79,104.204,"Asia","Malaysia","Pahang","Kampung Juara",spot,surfline,true,https://www.surfline.com/surf-report/pantai-juara/640a5dbd606c45894db7f386,,3,"","640a5c83b6d76963cf58407e","58f835b5dadb30820bf27d5a",""
58f7efb8dadb30820bb63a52,"Salybia Bay",10.83550342228099,-60.920248032489326,"North America","Trinidad and Tobago","Sangre Grande","Sangre Grande",spot,surfline,false,https://www.surfline.com/surf-report/salybia-bay/5842041f4e65fad6a7708c7b,,3,"","58f7efb8dadb30820bb63a48","58f7efb7dadb30820bb639a1",""
58f83419dadb30820bf12601,"Puri",19.794,85.827,"Asia","India","Odisha","Puri",spot,surfline,false,https://www.surfline.com/surf-report/puri/584204204e65fad6a7709a73,,3,"","58f83419dadb30820bf125f9","58f7f02bdadb30820bb6bb9c",""
640a44a9e920307fc69f1ed8,"Las Bóvedas",8.9493,-79.5312,"North America","Panama","Panamá Province","Panamá District",spot,surfline,true,https://www.surfline.com/surf-report/las-b-vedas/640a44a9e920307abc9f1ed4,,3,"","640a4240606c45da23b14a5b","58f7eef6dadb30820bb55de5",""
640b8af64878ebb8fe19d09e,"Sabi Sabi - São Nicolau",16.5686,-24.3642,"Africa","Cape Verde","Tarrafal de Sao Nicolau","Tarrafal de São Nicolau",spot,surfline,true,https://www.surfline.com/surf-report/sabi-sabi-s-o-nicolau/640b8af64878eb677519d099,,3,"","640a7bb8606c45c70bbe9781","58f83472dadb30820bf17276",""
640a6a77e920304bb5a81ede,"Calalapson Beach",18.8828,121.4618,"Asia","Philippines","Cagayan Valley","Province of Cagayan",spot,surfline,true,https://www.surfline.com/surf-report/calalapson-beach/640a6a77e920308ccda81ed9,,3,"","640a62a999dd4434e10ba8b0","58f7f04ddadb30820bb6e030",""
640a68024eb37503df9e10a4,"Gili Trawangan",-8.3635,116.04,"Asia","Indonesia","West Nusa Tenggara","North Lombok Regency",spot,surfline,true,https://www.surfline.com/surf-report/gili-trawangan/640a68024eb37506299e109e,,3,"","640a6221451905471aa50801","58f83363dadb30820bf09669",""
663bc1489c9ff1bb87ffc1f2,"Solaris",-9.6323063,-35.69608,"South America","Brazil","Alagoas","Maceió",spot,surfline,true,https://www.surfline.com/surf-report/solaris/663bc145b7a75dcb431ca2eb,,3,"","635312b238e50653219a7ffb","58f7f176dadb30820bb83c00",""
58f8334cdadb30820bf08695,"Tamarin Bay",-20.3271474702646,57.37435,"Africa","Mauritius","Black River District","Tamarin",spot,surfline,false,https://www.surfline.com/surf-report/tamarin-bay/5842041f4e65fad6a7708d26,,3,"","58f8334cdadb30820bf0868c","58f83349dadb30820bf084c8",""
640a44e5e920301b389f2e1b,"Mahaut Hugues",18.1122,-73.843,"North America","Haiti","Sud","Arrondissement de Port-Salut",spot,surfline,true,https://www.surfline.com/surf-report/mahaut-hugues/640a44e5e920302fa19f2e17,,3,"","640a426e606c45687bb15590","60076ca1fdef8d54ee6cb78b",""
58f8348edadb30820bf18e43,"Varazze",44.358,8.577,"Europe","Italy","Liguria","Provincia di Savona",spot,surfline,false,https://www.surfline.com/surf-report/varazze/584204204e65fad6a7709b09,,3,"","58f8348edadb30820bf18e3b","58f83487dadb30820bf18884",""
61422da329cfc682b6a2e206,"Gubnahardia Strand",54.0248,-9.9777,"Europe","Ireland","Connaught","County Mayo",spot,surfline,true,https://www.surfline.com/surf-report/gubnahardia-strand/61422da329cfc6225ea2e205,,3,"","645427a7653665e6c57cb9f7","58f7eef9dadb30820bb561d6",""
6095c032763daf5c9f8c472c,"Kulikovo",54.937482,20.3562,"Asia","Russia","Kaliningrad","Beregovoye",spot,surfline,true,https://www.surfline.com/surf-report/kulikovo/6095c032763daf03f68c472b,,3,"","6454301de0f70f19e08c4f11","600875db40fc7792e044b2d2",""
640b9976b6d7695b7694319e,"Neimporio",37.8403,24.9343,"Europe","Greece","South Aegean","Nomós Kykládon",spot,surfline,true,https://www.surfline.com/surf-report/neimporio/640b9976b6d769377994319a,,3,"","640a7e2fe920304c50ac54a8","58f835d9dadb30820bf297b3",""
640a65d6b6d769b8285a6ce8,"Gunturs",2.0524,97.3257,"Asia","Indonesia","Aceh","Kabupaten Aceh Singkil",spot,surfline,true,https://www.surfline.com/surf-report/gunturs/640a65d6b6d7695ada5a6cdd,,3,"","640a619b4519051c41a4e42e","6008b62984f482801e950d9f",""
640a1bea99dd440c94fa5488,"Maclear Beach",-34.3539,18.4724,"Africa","South Africa","Western Cape","City of Cape Town",spot,surfline,true,https://www.surfline.com/surf-report/maclear-beach/640a1bea99dd44047afa5484,,3,"","640a1af04eb3757ddf8b4663","58f7f01cdadb30820bb6aaef",""
58f8345fdadb30820bf15e9a,"Tartane",14.771,-60.899,"North America","Martinique","Martinique","Martinique",spot,surfline,false,https://www.surfline.com/surf-report/tartane/584204204e65fad6a7709ad3,,3,"","58f8345fdadb30820bf15e89","58f8345fdadb30820bf15c79",""
640a761f4eb37544caa128c2,"Luna",34.7381,136.8631,"Asia","Japan","Aichi","Chita-gun",spot,surfline,true,https://www.surfline.com/surf-report/luna/640a761e4eb375d813a128be,,3,"","640a706cb6d76988f15cbfe3","58f7f25edadb30820bb9cbda",""
6408ea664519055d8d5d341e,"Dagbego (Dabego)",4.9839,-5.9727,"Africa","Ivory Coast","Bas-Sassandra","Dabégo",spot,surfline,true,https://www.surfline.com/surf-report/dagbego-dabego-/6408ea6645190594ea5d341a,,3,"","6408ea654eb375660c54e598","5981fd78dadb30820b0aed1d",""
616756518d651d62988c0391,"Onuki Hotel Mae",36.29361,140.56127,"Asia","Japan","Ibaraki","Higashiibaraki-gun",spot,surfline,true,https://www.surfline.com/surf-report/onuki-hotel-mae/584204204e65fad6a77098ed,,3,"","645bffa332e0aafe95ffb87b","58f7f259dadb30820bb9bea9",""
58f8347edadb30820bf17ebe,"Mirissa Beach",5.942,80.455,"Asia","Sri Lanka","Southern Province","Weligama",spot,surfline,false,https://www.surfline.com/surf-report/mirissa-beach/584204204e65fad6a7709af7,,3,"","58f8347cdadb30820bf17cfe","58f83473dadb30820bf1745a",""
640a35bd4eb375c79e91cdd8,"Praia Do Flamengo",-12.9236,-38.3138,"South America","Brazil","Bahia","Lauro de Freitas",spot,surfline,true,https://www.surfline.com/surf-report/praia-do-flamengo/640a35bd4eb375659c91cdd0,,3,"","58f7f157dadb30820bb81b00","58f7f1b7dadb30820bb87fe5",""
6167550780764ef67f9c1be4,"Ataka No Seki",36.4216,136.4158,"Asia","Japan","Ishikawa","Komatsu Shi",spot,surfline,true,https://www.surfline.com/surf-report/ataka-no-seki/584204204e65fad6a77097d7,,3,"","61445fa3e9685a68a5119113","58f8082ddadb30820bce7a02",""
640a763f4eb375af75a1306f,"Diamond",35.6804792,135.97432,"Asia","Japan","Fukui","Mikata-gun",spot,surfline,true,https://www.surfline.com/surf-report/diamond/640a763f4eb3750a68a13063,,3,"","640a70754519051ca2a83e6c","58f8082edadb30820bce7ac7",""
